article_id,consensus_label,agreement
0002914a06a99970fe49e691a426c1f1,Biased,1.0
000ce791fbfa00967156f04c3f17b7e6,Non-biased,0.8461538461538461
004a479d14f822bd5fb72d4ad19414ba,Non-biased,0.8
004d437be422d9c37dd1825f41067e6b,Biased,0.6153846153846154
0054fce240c2634e75c0552c6a0dd7f6,Non-biased,0.8461538461538461
0066d37836f050b58ae2f47251b51483,Non-biased,1.0
006b5f32b8e364d71586fd06de45b613,Non-biased,1.0
007b9b307f224adb52fc87e4d967ac86,Non-biased,0.5384615384615384
008b1b8b9a0955ce5152e201c9e1e03b,Non-biased,0.5384615384615384
0093b2659f799e9725eac08fd2b58029,Biased,0.6
009d5f4b70cb7ca1a7bd1f7806258154,Biased,1.0
00a2a5a4d73b6866a4b818cf16448e26,Non-biased,1.0
00ad944b3f5a09200deba94141ec4ae4,Biased,0.6923076923076923
00b6bb3ba95c9347e6e6f9c995e6716d,Biased,0.9230769230769231
00c135e3b12ed0d1909d382ab6124e88,Biased,0.6153846153846154
00c7e146c860f4e025423c6f357f1d9c,Biased,1.0
00cdcd921d8ea16cc9a29a53e8cdf36c,Non-biased,1.0
00cfaacef842966594d025ece22a5c33,Non-biased,0.6923076923076923
00e083f53838e43a956cdba0ad49af62,Non-biased,0.6153846153846154
00f2f53894ba088deadd635243a598c9,Biased,0.7692307692307693
012ae4b74ec44441aba3593549a8f1c4,Non-biased,0.6923076923076923
0137ad30549bdd56fbaad9ab7ea0ed56,Non-biased,0.6
013e2e743cd351e5f776dfd50733fad7,Biased,0.5384615384615384
016062a21a68d621716d7f4fb7fa4c52,Biased,0.6
016c9b3d10f2444ae80fdb202f9c11c2,Non-biased,0.6
0185585b62974ba48ad7f19266db7889,Non-biased,0.8461538461538461
019294a9404050a6f3f6ad22cef647d2,Biased,1.0
019c010e2ffef0299f17648bf3ebba05,Biased,0.9230769230769231
019d0729d53ecedcd3fafa8ba0c6fb97,Non-biased,0.7692307692307693
01a595c2c23ab9fc633004d69c4c969c,Biased,0.6
01bc749b5634559b350ab92e2923837d,Non-biased,0.5384615384615384
01cffada1335c54b09e8474164f42af3,Non-biased,0.6153846153846154
01dc4c03ae541219d6a6de9f9fd513c5,Non-biased,1.0
01e3b0b5a1a7e0756123f3f693c20c82,Biased,1.0
021b5731675618de8836bb8d5a078c55,Non-biased,1.0
022c8d3fbbb6619c32f16debc29690c7,Non-biased,1.0
024f97c9f11863d04b08e47fc5360589,Non-biased,0.6153846153846154
